Gun Name,Rarity,Upgrade Level,Damage,HS Damage,Shooting Delay,Spread Intensity,Spread Per Shot,Spread Recovery,Snappiness,Return Speed,Akimbo
M4,Common,0,18,45,0.1,0.016,0.024,5,12,10,NO
M4,Common,1,21,53,0.0979,0.01383,0.0203,5.79,13,11,NO
M4,Common,2,28,70,0.0958,0.01195,0.01718,6.58,14,12,NO
M4,Common,3,42,105,0.0937,0.01033,0.01453,7.37,15,12,NO
M4,Common,4,73,182,0.0916,0.00893,0.01229,8.16,16,13,NO
M4,Rare,0,36,90,0.0895,0.00771,0.0104,8.95,17,14,NO
M4,Rare,1,42,105,0.0874,0.00667,0.0088,9.74,18,15,NO
M4,Rare,2,56,140,0.0853,0.00576,0.00744,10.53,19,16,NO
M4,Rare,3,84,210,0.0832,0.00498,0.0063,11.32,20,16,NO
M4,Rare,4,146,364,0.0811,0.0043,0.00533,12.11,21,17,NO
M4,Epic,0,72,180,0.0789,0.00372,0.00451,12.89,21,18,NO
M4,Epic,1,84,211,0.0768,0.00321,0.00381,13.68,22,19,NO
M4,Epic,2,112,279,0.0747,0.00278,0.00322,14.47,23,19,NO
M4,Epic,3,168,419,0.0726,0.0024,0.00273,15.26,24,20,NO
M4,Epic,4,292,729,0.0705,0.00207,0.00231,16.05,25,21,NO
M4,Legendary,0,144,360,0.0684,0.00179,0.00195,16.84,26,22,NO
M4,Legendary,1,168,421,0.0663,0.00155,0.00165,17.63,27,23,NO
M4,Legendary,2,223,558,0.0642,0.00134,0.0014,18.42,28,23,NO
M4,Legendary,3,336,839,0.0621,0.00116,0.00118,19.21,29,24,NO
M4,Legendary,4,583,1458,0.06,0.001,0.001,20,30,25,NO
M4-C,Common,0,17,43,0.11,0.017,0.024,5,14,10,NO
M4-C,Common,1,20,50,0.1077,0.01464,0.0203,5.79,15,11,NO
M4-C,Common,2,26,67,0.1054,0.01262,0.01718,6.58,16,12,NO
M4-C,Common,3,40,100,0.1031,0.01087,0.01453,7.37,17,12,NO
M4-C,Common,4,69,174,0.1007,0.00936,0.01229,8.16,18,13,NO
M4-C,Rare,0,34,86,0.0984,0.00807,0.0104,8.95,20,14,NO
M4-C,Rare,1,40,101,0.0961,0.00695,0.0088,9.74,21,15,NO
M4-C,Rare,2,53,133,0.0938,0.00599,0.00744,10.53,22,16,NO
M4-C,Rare,3,79,200,0.0915,0.00516,0.0063,11.32,23,16,NO
M4-C,Rare,4,138,348,0.0892,0.00444,0.00533,12.11,24,17,NO
M4-C,Epic,0,68,172,0.0868,0.00383,0.00451,12.89,25,18,NO
M4-C,Epic,1,80,201,0.0845,0.0033,0.00381,13.68,26,19,NO
M4-C,Epic,2,105,267,0.0822,0.00284,0.00322,14.47,27,19,NO
M4-C,Epic,3,158,401,0.0799,0.00245,0.00273,15.26,28,20,NO
M4-C,Epic,4,275,697,0.0776,0.00211,0.00231,16.05,29,21,NO
M4-C,Legendary,0,136,344,0.0753,0.00182,0.00195,16.84,31,22,NO
M4-C,Legendary,1,159,402,0.0729,0.00156,0.00165,17.63,32,23,NO
M4-C,Legendary,2,211,533,0.0706,0.00135,0.0014,18.42,33,23,NO
M4-C,Legendary,3,317,802,0.0683,0.00116,0.00118,19.21,34,24,NO
M4-C,Legendary,4,551,1393,0.066,0.001,0.001,20,35,25,NO
AUG,Common,0,20,60,0.12,0.02,0.024,5,18,15,NO
AUG,Common,1,23,70,0.1175,0.01708,0.0203,5.79,19,16,NO
AUG,Common,2,31,93,0.1149,0.01459,0.01718,6.58,21,17,NO
AUG,Common,3,47,140,0.1124,0.01246,0.01453,7.37,22,19,NO
AUG,Common,4,81,243,0.1099,0.01064,0.01229,8.16,24,20,NO
AUG,Rare,0,40,120,0.1074,0.00909,0.0104,8.95,25,21,NO
AUG,Rare,1,47,140,0.1048,0.00777,0.0088,9.74,27,22,NO
AUG,Rare,2,62,186,0.1023,0.00663,0.00744,10.53,28,23,NO
AUG,Rare,3,93,280,0.0998,0.00567,0.0063,11.32,29,24,NO
AUG,Rare,4,162,486,0.0973,0.00484,0.00533,12.11,31,26,NO
AUG,Epic,0,80,240,0.0947,0.00413,0.00451,12.89,32,27,NO
AUG,Epic,1,94,281,0.0922,0.00353,0.00381,13.68,34,28,NO
AUG,Epic,2,124,372,0.0897,0.00302,0.00322,14.47,35,29,NO
AUG,Epic,3,186,559,0.0872,0.00258,0.00273,15.26,36,30,NO
AUG,Epic,4,324,972,0.0846,0.0022,0.00231,16.05,38,32,NO
AUG,Legendary,0,160,480,0.0821,0.00188,0.00195,16.84,39,33,NO
AUG,Legendary,1,187,562,0.0796,0.0016,0.00165,17.63,41,34,NO
AUG,Legendary,2,248,744,0.0771,0.00137,0.0014,18.42,42,35,NO
AUG,Legendary,3,373,1118,0.0745,0.00117,0.00118,19.21,44,36,NO
AUG,Legendary,4,648,1944,0.072,0.001,0.001,20,45,38,NO
552 Commando,Common,0,22,55,0.11,0.019,0.024,5,10,8,NO
552 Commando,Common,1,26,64,0.1077,0.01627,0.0203,5.79,11,9,NO
552 Commando,Common,2,34,85,0.1054,0.01394,0.01718,6.58,12,9,NO
552 Commando,Common,3,51,128,0.1031,0.01194,0.01453,7.37,12,10,NO
552 Commando,Common,4,89,223,0.1007,0.01022,0.01229,8.16,13,11,NO
552 Commando,Rare,0,44,110,0.0984,0.00875,0.0104,8.95,14,11,NO
552 Commando,Rare,1,51,129,0.0961,0.0075,0.0088,9.74,15,12,NO
552 Commando,Rare,2,68,170,0.0938,0.00642,0.00744,10.53,16,12,NO
552 Commando,Rare,3,103,256,0.0915,0.0055,0.0063,11.32,16,13,NO
552 Commando,Rare,4,178,446,0.0892,0.00471,0.00533,12.11,17,14,NO
552 Commando,Epic,0,88,220,0.0868,0.00403,0.00451,12.89,18,14,NO
552 Commando,Epic,1,103,257,0.0845,0.00345,0.00381,13.68,19,15,NO
552 Commando,Epic,2,136,341,0.0822,0.00296,0.00322,14.47,19,16,NO
552 Commando,Epic,3,205,513,0.0799,0.00253,0.00273,15.26,20,16,NO
552 Commando,Epic,4,356,891,0.0776,0.00217,0.00231,16.05,21,17,NO
552 Commando,Legendary,0,176,440,0.0753,0.00186,0.00195,16.84,22,17,NO
552 Commando,Legendary,1,206,515,0.0729,0.00159,0.00165,17.63,23,18,NO
552 Commando,Legendary,2,273,682,0.0706,0.00136,0.0014,18.42,23,19,NO
552 Commando,Legendary,3,410,1025,0.0683,0.00117,0.00118,19.21,24,19,NO
552 Commando,Legendary,4,713,1782,0.066,0.001,0.001,20,25,20,NO
ASH-12,Common,0,35,105,0.15,0.022,0.024,5,25,6,NO
ASH-12,Common,1,41,123,0.1468,0.0187,0.0203,5.79,27,6,NO
ASH-12,Common,2,54,163,0.1437,0.01589,0.01718,6.58,29,7,NO
ASH-12,Common,3,82,245,0.1405,0.0135,0.01453,7.37,31,7,NO
ASH-12,Common,4,142,425,0.1374,0.01148,0.01229,8.16,33,8,NO
ASH-12,Rare,0,70,210,0.1342,0.00975,0.0104,8.95,35,8,NO
ASH-12,Rare,1,82,246,0.1311,0.00829,0.0088,9.74,37,9,NO
ASH-12,Rare,2,108,326,0.1279,0.00704,0.00744,10.53,39,9,NO
ASH-12,Rare,3,163,489,0.1247,0.00599,0.0063,11.32,41,10,NO
ASH-12,Rare,4,284,850,0.1216,0.00509,0.00533,12.11,43,10,NO
ASH-12,Epic,0,140,420,0.1184,0.00432,0.00451,12.89,45,11,NO
ASH-12,Epic,1,164,491,0.1153,0.00367,0.00381,13.68,47,11,NO
ASH-12,Epic,2,217,651,0.1121,0.00312,0.00322,14.47,49,12,NO
ASH-12,Epic,3,326,979,0.1089,0.00265,0.00273,15.26,51,12,NO
ASH-12,Epic,4,567,1701,0.1058,0.00226,0.00231,16.05,53,13,NO
